legacy_agora_id,legacy_name,legacy_family,status,score,method,winerim_agora_id,winerim_product_name,winerim_family,duplicates
40,VENUS,MONTSANT,MATCH,100,EXACT,763620,B Venus,TINTOS WINERIM,0
43,VESSANTS,MONTSANT,NO_MATCH,0,,,,,0
160,PRINCIPE DE VIANA 1423,NAVARRA,NO_MATCH,0,,,,,0
158,SEÑOR DE CASCANTE,NAVARRA,NO_MATCH,0,,,,,0
159,SEÑORIO DE SARRIA,NAVARRA,NO_MATCH,0,,,,,0
71,AD FINES,PENEDES,MATCH,100,EXACT,763645,B Ad Fines,TINTOS WINERIM,0
73,ALBET I NOYA CURIOS,PENEDES,NO_MATCH,0,,,,,0
78,AUGUSTUS,PENEDES,NO_MATCH,0,,,,,0
61,BLACK,PENEDES,MATCH,100,EXACT,763636,B Black,TINTOS WINERIM,0
67,CAN FEIXES,PENEDES,MATCH,92,CONTAINS,763642,B Can Feixes Negre Tradició,TINTOS WINERIM,2
82,ELS RAUSTALS RECAREDO,PENEDES,NO_MATCH,0,,,,,0
513,El curios,PENEDES,NO_MATCH,62,FUZZY,764603,B La Rosa,ROSADOS WINERIM,0
66,GRAN CAUS,PENEDES,MATCH,100,EXACT,763641,B Gran Caus,TINTOS WINERIM,0
64,GRAN CORONAS 1983,PENEDES,NO_MATCH,62,FUZZY,763398,B Gran Clos,TINTOS WINERIM,0
63,GRAN CORONAS 1992,PENEDES,NO_MATCH,62,FUZZY,763398,B Gran Clos,TINTOS WINERIM,0
65,GRAN CORONAS ET.NEGRA,PENEDES,NO_MATCH,0,,,,,0
68,HEREDAD MONTSARRA,PENEDES,NO_MATCH,0,,,,,0
79,HISENDA MIRET,PENEDES,MATCH,92,CONTAINS,782807,B Garnatxa - Hisenda Miret,TINTOS WINERIM,2
76,ISABEL NEGRA,PENEDES,MATCH,100,EXACT,763649,B Isabel Negra,TINTOS WINERIM,0
81,JEAN LEON,PENEDES,NO_MATCH,0,,,,,0
69,JEAN LEON 2007,PENEDES,NO_MATCH,0,,,,,0
60,LA MILANA,PENEDES,MATCH,92,CONTAINS,763635,B Finca La Milana,TINTOS WINERIM,0
62,MAS IRENE,PENEDES,MATCH,100,EXACT,763637,B Mas Irene,TINTOS WINERIM,0
72,NAVERAN,PENEDES,NO_MATCH,0,,,,,0
80,NEOLITIC,PENEDES,MATCH,92,CONTAINS,763652,B Neolitic de Sumoll,TINTOS WINERIM,0
77,NEROLA SYRAH,PENEDES,NO_MATCH,0,,,,,0
74,PAS CURTEI,PENEDES,MATCH,100,EXACT,763647,B Pas Curtei,TINTOS WINERIM,0
70,PETREA,PENEDES,MATCH,92,CONTAINS,763644,B Petrea Merlot,TINTOS WINERIM,0
75,SOT LEFREIC,PENEDES,NO_MATCH,0,,,,,0
59,TERRAL SUMARROCA,PENEDES,NO_MATCH,0,,,,,0
91,ABADAL 3.9,PLA DE BAGES,MATCH,100,EXACT,764491,B Abadal 3.9,TINTOS WINERIM,0
92,ABADAL CRIANÇA,PLA DE BAGES,NO_MATCH,67,FUZZY,763409,B Morlanda Crianza,TINTOS WINERIM,0
89,ABADAL SELECCIO,PLA DE BAGES,NO_MATCH,71,FUZZY,764490,B Abadal Reserva Selecció 0.7,TINTOS WINERIM,0
90,CEDRUS MERLOT,PLA DE BAGES,NO_MATCH,69,FUZZY,763644,B Petrea Merlot,TINTOS WINERIM,0
88,SOLEGIBERT,PLA DE BAGES,NO_MATCH,0,,,,,0
514,Sotabosc,PLA DE BAGES,MATCH,100,EXACT,775954,B Sotabosc,TINTOS WINERIM,0
13,AMADIS,PRIORAT,MATCH,100,EXACT,763403,B Amadis,TINTOS WINERIM,0
14,BALANDRA,PRIORAT,NO_MATCH,0,,,,,0
22,CAMINS DE PRIORAT,PRIORAT,MATCH,97,FUZZY,763412,B Camins del Priorat,TINTOS WINERIM,0
5,CIMS DE PORRERA CLASSIC,PRIORAT,MATCH,100,EXACT,763394,B Cims de Porrera Clàssic,TINTOS WINERIM,0
24,CLOS DE L'OBAC,PRIORAT,NO_MATCH,64,FUZZY,765206,B Notes De Blanc,BLANCOS WINERIM,0
16,CLOS MARTINET,PRIORAT,MATCH,100,EXACT,763406,B Clos Martinet,TINTOS WINERIM,0
8,CLOS MOGADOR,PRIORAT,MATCH,100,EXACT,763397,B Clos Mogador,TINTOS WINERIM,0
27,DESTI MERUM PRIORATI,PRIORAT,MATCH,92,CONTAINS,763418,B Destí,TINTOS WINERIM,0
10,DOFI,PRIORAT,NO_MATCH,0,,,,,0
29,EL CEL,PRIORAT,NO_MATCH,0,,,,,0
9,GRAN CLOS,PRIORAT,MATCH,100,EXACT,763398,B Gran Clos,TINTOS WINERIM,0
26,INICI MERUM PRIORATI,PRIORAT,MATCH,92,CONTAINS,763416,B Inici,TINTOS WINERIM,0
15,L'ERMITA,PRIORAT,MATCH,92,CONTAINS,763405,B L'Ermita Velles Vinyes,TINTOS WINERIM,2
11,LES TERRASSES,PRIORAT,MATCH,100,EXACT,763400,B Les Terrasses,TINTOS WINERIM,0
12,LES TERRASSES MAGNUM,PRIORAT,MATCH,100,EXACT,763400,B Les Terrasses,TINTOS WINERIM,0
18,LO CABALO,PRIORAT,MATCH,100,EXACT,763408,B Lo Cabaló,TINTOS WINERIM,0
6,MARTINET BRU,PRIORAT,MATCH,100,EXACT,763395,B Martinet Bru,TINTOS WINERIM,0
23,MAS D'EN COMTE,PRIORAT,NO_MATCH,67,FUZZY,767233,B Coma d'En Pou,TINTOS WINERIM,0
17,MAS IGNEUS,PRIORAT,MATCH,100,EXACT,763407,B Mas Igneus,TINTOS WINERIM,0
20,MAS PERINET,PRIORAT,MATCH,92,CONTAINS,763410,B Perinet,TINTOS WINERIM,0
19,MORLANDA,PRIORAT,MATCH,92,CONTAINS,763409,B Morlanda Crianza,TINTOS WINERIM,0
492,Mas mallola,PRIORAT,NO_MATCH,0,,,,,0
32,ONIX,PRIORAT,NO_MATCH,0,,,,,0
30,PREDICAT,PRIORAT,MATCH,100,EXACT,763425,B Predicat,TINTOS WINERIM,0
