id,name,type,format,price,status,score,method,agora_id,agora_name,agora_family,duplicates
269712,Tionio Reserva,tinto,bottle,35.0,MATCH,100,EXACT,769712,B Tionio Reserva,TINTOS WINERIM,0
269714,Hacienda Monasterio Reserva,tinto,bottle,70.0,MATCH,100,EXACT,764531,B Hacienda Monasterio Reserva,TINTOS WINERIM,0
269720,Viña Tondonia Gran Reserva,tinto,bottle,85.0,MATCH,100,EXACT,769720,B Viña Tondonia Gran Reserva,TINTOS WINERIM,0
269722,Finca La Montesa,tinto,bottle,35.0,MATCH,100,EXACT,769722,B Finca La Montesa,TINTOS WINERIM,0
269729,Gran Reserva 904,tinto,bottle,45.0,MATCH,100,EXACT,769729,B Gran Reserva 904,TINTOS WINERIM,0
271458,Dulce de Invierno,postre,glass,6.5,MATCH,100,EXACT,971458,C Dulce de Invierno,COPAS WINERIM,0
273496,Venus,tinto,bottle,65.0,MATCH,100,EXACT,763620,B Venus,TINTOS WINERIM,0
274054,Marqués de Murrieta Reserva,tinto,bottle,45.0,MATCH,100,EXACT,774054,B Marqués de Murrieta Reserva,TINTOS WINERIM,0
275945,Sindicat la Figuera Rosat,rosado,bottle,21.5,MATCH,100,EXACT,765229,B Sindicat la Figuera Rosat,ROSADOS WINERIM,0
275946,Sindicat la Figuera Garnatxa Fina,tinto,bottle,21.5,MATCH,100,EXACT,775946,B Sindicat la Figuera Garnatxa Fina,TINTOS WINERIM,0
275951,Subtil Brut Nature Gran Reserva,espumoso,bottle,56.0,MATCH,100,EXACT,775951,B Subtil Brut Nature Gran Reserva,ESPUMOSOS WINERIM,0
275954,Sotabosc,tinto,bottle,24.5,MATCH,100,EXACT,775954,B Sotabosc,TINTOS WINERIM,0
276053,Primer Reserva Brut,espumoso,bottle,18.0,MATCH,100,EXACT,776053,B Primer Reserva Brut,ESPUMOSOS WINERIM,0
276078,Ètim Grenache,tinto,bottle,24.8,MATCH,100,EXACT,776078,B Ètim Grenache,TINTOS WINERIM,0
282797,Mas Elena,tinto,bottle,130.0,MATCH,100,EXACT,782797,B Mas Elena,TINTOS WINERIM,0
282807,Garnatxa - Hisenda Miret,tinto,bottle,46.5,MATCH,100,EXACT,782807,B Garnatxa - Hisenda Miret,TINTOS WINERIM,0
282808,Garnatxa - Hisenda Miret,tinto,bottle,46.5,MATCH,100,EXACT,782807,B Garnatxa - Hisenda Miret,TINTOS WINERIM,0
285747,Coll de la Sitja Ancestral,espumoso,bottle,22.5,MATCH,100,EXACT,785747,B Coll de la Sitja Ancestral,ESPUMOSOS WINERIM,0
285748,Para Roques Ancestral,espumoso,bottle,22.5,MATCH,100,EXACT,785748,B Para Roques Ancestral,ESPUMOSOS WINERIM,0
