agora_id,name,family,saleable,direct,family_show_in_pos
769707,B Valdubón Reserva,TINTOS WINERIM,True,False,True
769708,B Ferratus 708,TINTOS WINERIM,True,False,True
769712,B Tionio Reserva,TINTOS WINERIM,True,False,True
769714,B Hacienda Monasterio Reserva 714,TINTOS WINERIM,True,False,True
769720,B Viña Tondonia Gran Reserva,TINTOS WINERIM,True,False,True
769722,B Finca La Montesa,TINTOS WINERIM,True,False,True
769729,B Gran Reserva 904,TINTOS WINERIM,True,False,True
773496,B Venus  496,TINTOS WINERIM,True,False,True
774054,B Marqués de Murrieta Reserva,TINTOS WINERIM,True,False,True
775946,B Sindicat la Figuera Garnatxa Fina,TINTOS WINERIM,True,False,True
775954,B Sotabosc,TINTOS WINERIM,True,False,True
776078,B Ètim Grenache,TINTOS WINERIM,True,False,True
782797,B Mas Elena,TINTOS WINERIM,True,False,True
782807,B Garnatxa - Hisenda Miret,TINTOS WINERIM,True,False,True
782808,B Garnatxa - Hisenda Miret 808,TINTOS WINERIM,True,False,True
