winerim_agora_id,winerim_product_name,winerim_family,status,score,method,legacy_agora_id,legacy_name,legacy_family,duplicates
764521,B La Vicalanda Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,129,LA VICALANDA,RIOJA,0
763621,B Laurona,TINTOS WINERIM,MATCH,100,EXACT,41,LAURONA,MONTSANT,0
767286,B Les Tallades,TINTOS WINERIM,MATCH,100,EXACT,45,LES TALLADES,MONTSANT,0
763400,B Les Terrasses,TINTOS WINERIM,MATCH,100,EXACT,11,LES TERRASSES,PRIORAT,2
765655,B Les Terrasses 655,TINTOS WINERIM,MATCH,92,CONTAINS,11,LES TERRASSES,PRIORAT,2
764496,B Llavors Negre,TINTOS WINERIM,MATCH,92,CONTAINS,98,LLAVORS,EMPORDA COSTA BRAVA,0
763607,B Llàgrimes de Tardor Criança,TINTOS WINERIM,MATCH,92,CONTAINS,54,LLAGRIMES DE TARDOR,TERRA ALTA,0
763408,B Lo Cabaló,TINTOS WINERIM,MATCH,100,EXACT,18,LO CABALO,PRIORAT,0
764505,B Luis Cañas Crianza,TINTOS WINERIM,MATCH,92,CONTAINS,113,LUIS CAÑAS,RIOJA,0
774054,B Marqués de Murrieta Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,108,MARQUES DE MURRIETA,RIOJA,0
764506,B Marqués de Riscal Reserva,TINTOS WINERIM,MATCH,92,CONTAINS,114,MARQUES DE RISCAL,RIOJA,0
763395,B Martinet Bru,TINTOS WINERIM,MATCH,100,EXACT,6,MARTINET BRU,PRIORAT,0
765640,B Martinet Bru 640,TINTOS WINERIM,MATCH,92,CONTAINS,6,MARTINET BRU,PRIORAT,0
763616,B Mas Donis Negre,TINTOS WINERIM,NO_MATCH,0,,,,,0
782797,B Mas Elena,TINTOS WINERIM,REVIEW,74,FUZZY,223,MAS ESTELA,VI BLANC,0
763407,B Mas Igneus,TINTOS WINERIM,MATCH,100,EXACT,17,MAS IGNEUS,PRIORAT,0
763637,B Mas Irene,TINTOS WINERIM,MATCH,100,EXACT,62,MAS IRENE,PENEDES,0
763423,B Mas de Subirà Criança,TINTOS WINERIM,NO_MATCH,65,FUZZY,139,PESQUERA CRIANÇA,RIBERA DUERO,0
763409,B Morlanda Crianza,TINTOS WINERIM,MATCH,92,CONTAINS,19,MORLANDA,PRIORAT,0
764516,B Muga Crianza,TINTOS WINERIM,NO_MATCH,64,FUZZY,139,PESQUERA CRIANÇA,RIBERA DUERO,0
